id,name
1,Angelica
2,Savoy cabbage
3,Silver linden
4,Kiwi
5,Allium
6,Garden onion
7,Leek
8,Garlic
9,Chives
10,Lemon verbena
11,Cashew nut
12,Pineapple
13,Dill
14,Custard apple
15,Wild celery
16,Peanut
17,Burdock
18,Horseradish
19,Tarragon
20,Mugwort
21,Asparagus
22,Oat
23,Star fruit
24,Brazil nut
25,Common beet
26,Borage
27,Chinese mustard
28,Swede
29,Rape
30,Common cabbage
31,Cauliflower
32,Brussel sprouts
33,Kohlrabi
34,Broccoli
35,Chinese cabbage
36,Turnip
37,Pigeon pea
38,Tea
39,Capers
40,Pepper
41,Papaya
42,Safflower
43,Caraway
44,Pecan nut
45,Chestnut
46,Roman camomile
47,Chickpea
48,Endive
49,Chicory
50,Chinese cinnamon
51,Ceylon cinnamon
52,Watermelon
53,Lime
54,Lemon
55,Pummelo
56,Mandarin orange
57,Sweet orange
58,Coffee
59,Arabica coffee
60,Robusta coffee
61,Coriander
62,Common hazelnut
63,Saffron
64,Muskmelon
65,Cucumber
66,Cucurbita
67,Cumin
68,Turmeric
69,Quince
70,Lemon grass
71,Globe artichoke
72,Wild carrot
73,Japanese persimmon
74,Cardamom
75,Black crowberry
76,Loquat
77,Rocket salad (ssp.)
78,Wax apple
79,Common buckwheat
80,Tartary buckwheat
81,Fig
82,Fennel
83,Strawberry
84,Black huckleberry
85,Soy bean
86,Sunflower
87,Sea-buckthornberry
88,Barley
89,Hyssop
90,Star anise
91,Swamp cabbage
92,Sweet potato
93,Black walnut
94,Common walnut
95,Lettuce
96,Grass pea
97,Sweet bay
98,Lentils
99,Garden cress
100,Lovage
101,Flaxseed
102,Mexican oregano
103,Lichee
104,Lupine
105,Apple
106,Mango
107,German camomile
108,Lemon balm
109,Mentha
110,Orange mint
111,Cornmint
112,Spearmint
113,Peppermint
114,Medlar
115,Bitter gourd
116,Mulberry
117,Black mulberry
118,Nutmeg
119,Sweet basil
120,Evening primrose
121,Olive
122,Sweet marjoram
123,Pot marjoram
124,Common oregano
125,Rice
126,Millet
127,Poppy
128,Passion fruit
129,Parsnip
130,Avocado
131,Parsley
132,Scarlet bean
133,Lima bean
134,Common bean
135,Date
136,Black chokeberry
137,Anise
138,Pine nut
139,Pepper (Spice)
140,Pistachio
141,Common pea
142,Purslane
143,Prunus
144,Apricot
145,Sweet cherry
146,Sour cherry
147,European plum
148,Almond
149,Peach
150,Guava
151,Pomegranate
152,Pear
153,Radish
154,Garden rhubarb
155,Blackcurrant
156,Redcurrant
157,Gooseberry
158,Watercress
159,Rosemary
160,Rubus
161,Cloudberry
162,Red raspberry
163,Black raspberry
164,Sorrel
165,Common sage
166,Black elderberry
167,Summer savory
168,Winter savory
169,Rye
170,Sesame
171,Garden tomato
172,Cherry tomato
173,Garden tomato (var.)
174,Eggplant
175,Potato
176,Rowanberry
177,Sorghum
178,Spinach
179,Cloves
180,Tamarind
181,Dandelion
182,Cocoa bean
183,Common thyme
184,Linden
185,Small-leaf linden
186,Fenugreek
187,Common wheat
188,Vaccinium
189,Lowbush blueberry
190,Sparkleberry
191,Highbush blueberry
192,American cranberry
193,Bilberry
194,Lingonberry
195,Vanilla
