id,source_id,food_id,orig_content,unit,quantity_ref
1,1,4,1955.0,mg,100
2,1,6,1853.95,mg,100
4,1,9,3900.0,mg,100
5,1,11,2500.0,mg,100
8,1,12,2188.6,mg,100
9,1,13,4500.0,mg,100
11,1,14,1150.0,mg,100
14,1,15,2165.0,mg,100
16,1,16,1700.0,mg,100
19,1,17,16500.0,mg,100
22,1,18,700.0,mg,100
23,1,19,38100.0,mg,100
25,1,20,3550.0,mg,100
27,1,21,2150.0,mg,100
28,1,22,2900.0,mg,100
30,1,23,2640.0,mg,100
31,1,24,67459.5,mg,100
32,1,26,5350.0,mg,100
34,1,27,7535.0,mg,100
36,1,32,1528.0,mg,100
37,1,33,605.5,mg,100
39,1,37,1300.0,mg,100
43,1,38,9250.0,mg,100
44,1,39,470.0,mg,100
48,1,40,7300.0,mg,100
50,1,41,1149.0,mg,100
54,1,42,6300.0,mg,100
57,1,43,15191.3,mg,100
58,1,46,3900.0,mg,100
59,1,47,6437.5,mg,100
60,1,48,1710.0,mg,100
61,1,49,1500.0,mg,100
63,1,50,3500.0,mg,100
64,1,51,1400.0,mg,100
66,1,52,4460.0,mg,100
68,1,53,1435.0,mg,100
69,1,54,2800.0,mg,100
71,1,56,1195.0,mg,100
72,1,57,855.0,mg,100
73,1,59,5700.0,mg,100
75,1,61,16000.0,mg,100
77,1,62,57500.0,mg,100
78,1,63,9515.0,mg,100
79,1,64,1597.75,mg,100
81,1,65,2196.85,mg,100
83,1,66,1766.5,mg,100
84,1,67,20219.0,mg,100
86,1,68,8550.0,mg,100
87,1,69,900.0,mg,100
89,1,70,7100.0,mg,100
90,1,72,1535.0,mg,100
92,1,74,2500.0,mg,100
94,1,76,2600.0,mg,100
97,1,79,2190.0,mg,100
98,1,81,1300.0,mg,100
102,1,82,2500.0,mg,100
104,1,85,10550.0,mg,100
108,1,86,37290.0,mg,100
109,1,87,3060.0,mg,100
112,1,88,4150.0,mg,100
115,1,91,7900.0,mg,100
116,1,92,3000.0,mg,100
118,1,93,5200.0,mg,100
120,1,94,55050.0,mg,100
121,1,95,2650.0,mg,100
123,1,98,940.0,mg,100
125,1,99,3652.0,mg,100
127,1,100,14700.0,mg,100
128,1,101,4700.0,mg,100
130,1,105,1870.5,mg,100
132,1,106,894.5,mg,100
135,1,108,11500.0,mg,100
136,1,112,2064.7,mg,100
137,1,113,5400.0,mg,100
138,1,115,2150.0,mg,100
140,1,118,28400.0,mg,100
142,1,119,3971.6,mg,100
144,1,120,3300.0,mg,100
146,1,121,35500.0,mg,100
150,1,122,4297.5,mg,100
151,1,124,10697.0,mg,100
152,1,125,1200.0,mg,100
154,1,128,1750.0,mg,100
156,1,129,1350.0,mg,100
158,1,130,46250.0,mg,100
159,1,131,2810.9,mg,100
161,1,132,650.0,mg,100
163,1,133,600.0,mg,100
167,1,134,2450.0,mg,100
171,1,135,1300.0,mg,100
173,1,137,24000.0,mg,100
174,1,139,5397.0,mg,100
175,1,140,51868.5,mg,100
176,1,141,1089.1,mg,100
179,1,142,3245.0,mg,100
181,1,144,2160.0,mg,100
183,1,146,2550.0,mg,100
184,1,147,2462.15,mg,100
186,1,148,48550.0,mg,100
187,1,149,943.0,mg,100
189,1,150,2460.0,mg,100
192,1,151,1950.0,mg,100
194,1,152,1749.4,mg,100
195,1,153,2650.0,mg,100
199,1,154,3300.0,mg,100
201,1,155,1556.35,mg,100
203,1,156,723.0,mg,100
205,1,157,2680.75,mg,100
207,1,158,1050.0,mg,100
208,1,159,16071.9,mg,100
210,1,162,1700.0,mg,100
212,1,164,4700.0,mg,100
214,1,165,13800.0,mg,100
217,1,166,4820.0,mg,100
219,1,167,4075.0,mg,100
221,1,169,2300.0,mg,100
223,1,170,4800.0,mg,100
225,1,173,2438.55,mg,100
227,1,174,1950.0,mg,100
230,1,175,500.0,mg,100
231,1,178,2487.1,mg,100
232,1,179,14500.0,mg,100
233,1,180,9000.0,mg,100
237,1,181,2780.0,mg,100
239,1,182,7438.0,mg,100
242,1,183,7474.0,mg,100
244,1,184,30500.0,mg,100
246,1,186,6738.5,mg,100
247,1,187,2000.0,mg,100
249,1,191,1441.5,mg,100
250,1,192,3000.0,mg,100
252,1,193,31000.0,mg,100
253,1,197,392.5,mg,100
255,1,198,571.15,mg,100
256,1,199,2300.0,mg,100
259,1,200,1214.7,mg,100
261,1,204,1945.4,mg,100
263,1,205,3252.95,mg,100
265,1,206,4200.0,mg,100
266,1,264,3000.0,mg,100
269,1,284,7075.0,mg,100
271,1,288,3850.0,mg,100
272,1,289,2770.5,mg,100
273,1,291,350.0,mg,100
274,1,312,1770.0,mg,100
276,1,313,1812.5,mg,100
277,1,318,383.5,mg,100
278,1,320,57972.2,mg,100
279,1,322,234.25,mg,100
281,1,326,900.0,mg,100
283,1,328,1100.0,mg,100
284,1,330,2193.0,mg,100
287,1,331,800.0,mg,100
289,1,332,4052.0,mg,100
291,1,337,900.0,mg,100
292,1,338,1227.5,mg,100
294,1,341,38870.0,mg,100
295,1,345,2977.75,mg,100
296,1,346,18350.0,mg,100
297,1,360,4090.0,mg,100
298,1,368,8100.0,mg,100
301,1,372,2701.0,mg,100
302,1,384,947.5,mg,100
306,1,386,334.1,mg,100
308,1,387,1200.0,mg,100
309,1,389,610.0,mg,100
311,1,391,970.0,mg,100
312,1,392,477.5,mg,100
313,1,394,1142.5,mg,100
315,1,399,2948.0,mg,100
317,1,401,1750.0,mg,100
320,1,407,2533.35,mg,100
323,1,408,10301.5,mg,100
324,1,409,2323.75,mg,100
325,1,410,3463.75,mg,100
326,1,411,3000.0,mg,100
327,1,416,2900.0,mg,100
331,1,417,319.5,mg,100
332,1,420,29781.75,mg,100
333,1,422,1766.75,mg,100
336,1,436,866.0,mg,100
338,1,437,761.5,mg,100
340,1,441,62851.75,mg,100
341,1,442,3063.75,mg,100
350,1,445,2600.0,mg,100
351,1,447,47500.0,mg,100
352,1,448,3680.0,mg,100
353,1,455,1067.5,mg,100
354,1,457,5550.0,mg,100
357,1,467,2057.5,mg,100
358,1,468,2550.0,mg,100
359,1,488,1300.0,mg,100
362,1,493,1800.0,mg,100
363,1,496,1150.0,mg,100
365,1,499,5650.0,mg,100
367,1,502,4650.0,mg,100
