"REGION","FOOD_ID","FOOD_NAME","FREQUENCIA"
"USA","666","salt","5915"
"USA","318","butter","5719"
"USA","496","sugar","5553"
"USA","8","garlic","4543"
"USA","6","onion","4519"
"Italy","121","olive","4284"
"USA","174","egg","4145"
"Italy","8","garlic","3723"
"USA","825","flour","3629"
"USA","121","olive","3593"
"USA","40","pepper","3517"
"USA","52","water","3044"
"USA","641","cream","2428"
"USA","334","chicken","2260"
"Italy","666","salt","2188"
"Italy","6","onion","2061"
"Italy","171","tomato","2021"
"Italy","40","pepper","1968"
"USA","195","vanilla","1907"
"USA","413","milk","1826"
"USA","171","tomato","1799"
"Italy","318","butter","1793"
"Italy","174","egg","1772"
"Italy","119","basil","1646"
"USA","645","vinegar","1607"
"USA","131","parsley","1585"
"Mexico","6","onion","1548"
"Italy","131","parsley","1518"
"USA","27","mustard","1501"
"USA","15","celery","1460"
"Italy","496","sugar","1443"
"USA","10","lemon","1417"
"USA","183","thyme","1403"
"Mexico","8","garlic","1331"
"France","318","butter","1320"
"Italy","825","flour","1295"
"USA","50","cinnamon","1293"
"Italy","52","water","1288"
"Italy","334","chicken","1223"
"USA","92","potato","1188"
"France","174","egg","1096"
"France","496","sugar","968"
"Mexico","171","tomato","947"
"Mexico","666","salt","924"
"Italy","102","oregano","860"
"France","666","salt","845"
"Italy","274","pasta","840"
"Italy","641","cream","808"
"Italy","10","lemon","805"
"Mexico","733","tortilla","759"
"Mexico","53","lime","753"
"France","825","flour","743"
"Italy","269","bread","740"
"Mexico","121","olive","734"
"France","121","olive","693"
"France","8","garlic","686"
"Indian Subcontinent","8","garlic","673"
"Mexico","67","cumin","669"
"France","641","cream","666"
"Indian Subcontinent","6","onion","662"
"Mexico","40","pepper","652"
"Mexico","52","water","636"
"Indian Subcontinent","67","cumin","632"
"Greece","121","olive","626"
"Mexico","334","chicken","609"
"France","52","water","600"
"Indian Subcontinent","666","salt","597"
"China","716","soy sauce","596"
"British Isles","318","butter","571"
"Indian Subcontinent","206","ginger","564"
"France","6","onion","546"
"Indian Subcontinent","52","water","540"
"Caribbean","8","garlic","536"
"Mexico","85","bean","510"
"Mexico","631","cheese","510"
"Middle East","121","olive","507"
"Middle East","8","garlic","507"
"Spain","121","olive","504"
"Mexico","641","cream","504"
"British Isles","496","sugar","496"
"Indian Subcontinent","68","turmeric","491"
"Canada","496","sugar","488"
"Greece","8","garlic","468"
"British Isles","825","flour","467"
"China","8","garlic","465"
"Spain","8","garlic","463"
"Middle East","666","salt","450"
"China","206","ginger","442"
"Caribbean","6","onion","438"
"British Isles","666","salt","433"
"Mexico","496","sugar","428"
"Mexico","987","jalapeno","427"
"France","183","thyme","423"
"British Isles","174","egg","417"
"France","413","milk","417"
"France","195","vanilla","414"
"China","496","sugar","413"
"Canada","666","salt","407"
"France","131","parsley","405"
"China","170","sesame","391"
"Caribbean","666","salt","383"
"Canada","318","butter","379"
"Middle East","6","onion","376"
"South East Asia","8","garlic","375"
"Thailand","8","garlic","370"
"Mexico","506","beef","365"
"Mexico","130","avocado","364"
"Africa","121","olive","354"
"France","334","chicken","353"
"Caribbean","53","lime","353"
"Indian Subcontinent","171","tomato","352"
"France","40","pepper","352"
"Caribbean","121","olive","352"
"South East Asia","496","sugar","349"
"Middle East","52","water","346"
"Caribbean","496","sugar","344"
"France","243","shallot","339"
"Thailand","496","sugar","338"
"Canada","174","egg","331"
"Mexico","111","corn","327"
"Indian Subcontinent","634","yogurt","327"
"Spain","6","onion","325"
"Canada","6","onion","319"
"Mexico","174","egg","315"
"Africa","8","garlic","315"
"Africa","6","onion","315"
"Thailand","297","fish","315"
"Mexico","318","butter","312"
"China","52","water","312"
"China","334","chicken","311"
"Indian Subcontinent","496","sugar","309"
"Thailand","53","lime","302"
"Eastern Europe","174","egg","302"
"Eastern Europe","666","salt","294"
"China","666","salt","294"
"Canada","8","garlic","292"
"Caribbean","40","pepper","290"
"Canada","825","flour","287"
"Greece","102","oregano","286"
"Indian Subcontinent","74","cardamom","286"
"Indian Subcontinent","61","coriander","284"
"Greece","6","onion","283"
"British Isles","6","onion","281"
"Indian Subcontinent","318","butter","279"
"Indian Subcontinent","40","pepper","279"
"Indian Subcontinent","334","chicken","278"
"Germany, Austria, and Switzerland","496","sugar","277"
"Japan","716","soy sauce","274"
"Greece","171","tomato","273"
"Middle East","131","parsley","269"
"Caribbean","52","water","264"
"France","92","potato","264"
"France","698","chocolate","262"
"Eastern Europe","318","butter","261"
"Scandinavia","496","sugar","261"
"Japan","496","sugar","260"
"Germany, Austria, and Switzerland","174","egg","259"
"Middle East","40","pepper","258"
"Eastern Europe","825","flour","258"
"Africa","666","salt","256"
"France","645","vinegar","256"
"Middle East","67","cumin","254"
"Germany, Austria, and Switzerland","825","flour","253"
"Indian Subcontinent","700","curry powder","252"
"Greece","666","salt","252"
"Africa","67","cumin","251"
"Thailand","334","chicken","250"
"South East Asia","297","fish","248"
"China","6","onion","247"
"Spain","171","tomato","246"
"France","27","mustard","246"
"France","10","lemon","245"
"Eastern Europe","6","onion","240"
"Indian Subcontinent","27","mustard","240"
"British Isles","413","milk","238"
"Eastern Europe","496","sugar","237"
"Spain","666","salt","236"
"Indian Subcontinent","50","cinnamon","235"
"Canada","52","water","234"
"British Isles","92","potato","233"
"Scandinavia","318","butter","232"
"British Isles","641","cream","230"
"Germany, Austria, and Switzerland","318","butter","228"
"South East Asia","6","onion","227"
"China","174","egg","226"
"China","645","vinegar","222"
"Germany, Austria, and Switzerland","666","salt","220"
"Greece","10","lemon","215"
"British Isles","52","water","214"
"Scandinavia","825","flour","213"
"Canada","40","pepper","211"
"Africa","52","water","208"
"Greece","40","pepper","207"
"South East Asia","52","water","206"
"Japan","52","water","206"
"Scandinavia","666","salt","206"
"Spain","40","pepper","204"
"Thailand","6","onion","202"
"Caribbean","334","chicken","200"
"Thailand","206","ginger","199"
"Middle East","171","tomato","196"
"Thailand","716","soy sauce","195"
"Korea","8","garlic","195"
"Indian Subcontinent","121","olive","192"
"Caribbean","183","thyme","192"
"Caribbean","318","butter","190"
"Indian Subcontinent","179","clove","188"
"Middle East","496","sugar","188"
"Scandinavia","174","egg","186"
"Greece","131","parsley","186"
"Greece","174","egg","186"
"Korea","170","sesame","185"
"Thailand","970","coconut milk","184"
"Middle East","110","mint","184"
"Africa","50","cinnamon","183"
"Spain","131","parsley","181"
"Indian Subcontinent","92","potato","181"
"Africa","40","pepper","176"
"Korea","716","soy sauce","176"
"Greece","52","water","174"
"Spain","334","chicken","173"
"Australia & NZ","6","onion","173"
"Canada","195","vanilla","173"
"Eastern Europe","52","water","172"
"Middle East","318","butter","171"
"South East Asia","666","salt","171"
"Greece","65","cucumber","170"
"Japan","645","vinegar","170"
"China","40","pepper","170"
"Africa","334","chicken","169"
"Korea","496","sugar","168"
"Caribbean","67","cumin","168"
"Greece","318","butter","167"
"Japan","206","ginger","167"
"Spain","174","egg","166"
"Spain","645","vinegar","164"
"Canada","413","milk","164"
"Caribbean","171","tomato","164"
"Greece","645","vinegar","162"
"Spain","52","water","162"
"Africa","171","tomato","160"
"Canada","121","olive","160"
"South East Asia","334","chicken","159"
"South East Asia","53","lime","158"
"China","649","sherry","158"
"Caribbean","288","allspice","158"
"Thailand","52","water","157"
"Caribbean","645","vinegar","157"
"Germany, Austria, and Switzerland","6","onion","157"
"Middle East","10","lemon","157"
"Australia & NZ","8","garlic","153"
"South East Asia","716","soy sauce","151"
"Japan","170","sesame","150"
"Middle East","634","yogurt","149"
"Korea","6","onion","148"
"Caribbean","174","egg","144"
"Greece","634","yogurt","144"
"Australia & NZ","496","sugar","142"
"Caribbean","206","ginger","142"
"Middle East","334","chicken","141"
"Middle East","174","egg","141"
"Africa","206","ginger","140"
"Eastern Europe","641","cream","140"
"Australia & NZ","121","olive","139"
"Japan","666","salt","139"
"South East Asia","206","ginger","138"
"Thailand","119","basil","138"
"South East Asia","40","pepper","137"
"Greece","110","mint","137"
"Germany, Austria, and Switzerland","52","water","136"
"Korea","40","pepper","135"
"British Isles","195","vanilla","135"
"Thailand","40","pepper","134"
"British Isles","72","carrot","133"
"South America","8","garlic","133"
"Greece","334","chicken","133"
"Caribbean","357","rum","132"
"Middle East","50","cinnamon","132"
"Caribbean","56","orange","132"
"South East Asia","243","shallot","132"
"British Isles","8","garlic","131"
"China","974","peanut oil","131"
"Spain","10","lemon","130"
"Africa","131","parsley","129"
"Greece","13","dill","129"
"Japan","6","onion","129"
"Caribbean","50","cinnamon","128"
"Japan","8","garlic","128"
"Thailand","666","salt","128"
"Spain","496","sugar","128"
"Greece","496","sugar","127"
"Australia & NZ","318","butter","127"
"British Isles","506","beef","126"
"Greece","825","flour","125"
"Canada","641","cream","121"
"Japan","174","egg","121"
"Thailand","16","peanut","121"
"Africa","10","lemon","121"
"South East Asia","72","carrot","121"
"South East Asia","645","vinegar","119"
"Caribbean","102","oregano","118"
"Caribbean","825","flour","118"
"Thailand","546","shrimp","116"
"Canada","50","cinnamon","115"
"Scandinavia","641","cream","113"
"Canada","645","vinegar","112"
"Australia & NZ","666","salt","112"
"South America","121","olive","111"
"Africa","318","butter","111"
"Australia & NZ","40","pepper","110"
"South America","666","salt","109"
"Eastern Europe","40","pepper","109"
"Africa","496","sugar","109"
"Thailand","125","rice","109"
"South America","6","onion","109"
"Africa","72","carrot","109"
"Thailand","243","shallot","107"
"Eastern Europe","8","garlic","107"
"Eastern Europe","413","milk","106"
"Canada","334","chicken","106"
"South East Asia","125","rice","103"
"Germany, Austria, and Switzerland","413","milk","101"
"Spain","125","rice","100"
"Eastern Europe","92","potato","100"
"Thailand","72","carrot","100"
"Scandinavia","52","water","99"
"Australia & NZ","334","chicken","98"
"Korea","206","ginger","98"
"Spain","56","orange","97"
"Spain","63","saffron","97"
"Spain","92","potato","96"
"Spain","546","shrimp","96"
"Korea","666","salt","96"
"Spain","318","butter","96"
"Thailand","645","vinegar","94"
"Africa","68","turmeric","93"
"Korea","52","water","89"
"Africa","61","coriander","86"
"South East Asia","110","mint","85"
"Australia & NZ","52","water","85"
"Africa","765","couscou","85"
"South America","52","water","85"
"Germany, Austria, and Switzerland","50","cinnamon","84"
"Japan","763","sake","84"
"South America","174","egg","83"
"Eastern Europe","506","beef","82"
"Japan","125","rice","82"
"Australia & NZ","171","tomato","79"
"Japan","334","chicken","79"
"Germany, Austria, and Switzerland","40","pepper","78"
"Scandinavia","413","milk","78"
"Australia & NZ","174","egg","77"
"Germany, Austria, and Switzerland","195","vanilla","77"
"South America","496","sugar","75"
"Japan","717","miso","74"
"Korea","645","vinegar","74"
"Portugal","8","garlic","73"
"Japan","72","carrot","72"
"South America","40","pepper","72"
"Australia & NZ","645","vinegar","71"
"Germany, Austria, and Switzerland","641","cream","70"
"Portugal","6","onion","70"
"Japan","65","cucumber","68"
"Scandinavia","6","onion","68"
"Australia & NZ","825","flour","64"
"Scandinavia","195","vanilla","62"
"Portugal","121","olive","61"
"Korea","174","egg","59"
"South America","53","lime","56"
