"REGION","FOOD_TOTAL_WEIGHT_KG","TOTAL_FAT","TOTAL_PROTEIN","TOTAL_CARBO","PER_FAT","PER_PROTEIN","PER_CARBO"
"France","4352.200019999986","205.80881868577498","319.4478426509995","862.7903766787512","0.04728845589357257","0.0733991639131973","0.19824235391615894"
"Italy","12136.556527500055","566.3232764704994","1028.4407458314963","2546.2988716552463","0.04666259949329741","0.08473908917254797","0.209804063111775"
"Eastern Europe","1014.0771800000001","37.0753184686","74.32325919599997","225.331314404","0.03656064765070446","0.07329152125876648","0.22220331829575338"
"Japan","768.4440899999998","21.351710719250004","56.089538373000025","104.70537887800009","0.027785639836529954","0.07299104658739719","0.13625633958353445"
"Thailand","1209.0190699999991","40.6520944225","114.06910332500009","203.27469645000008","0.033624030779349105","0.09434847320067513","0.16813191908544523"
"Middle East","1562.7898999999975","77.139739317775","119.03279400700006","351.6302704699998","0.0493602750553834","0.07616685647059804","0.22500162719889627"
"Australia & NZ","749.9270999999994","32.90446713292499","58.9042234375","135.7840976374999","0.043876887677382265","0.0785465993127866","0.18106306284637536"
"Korea","489.55052000000006","13.293778273500008","40.24260933000003","97.15443715000005","0.02715506925311816","0.08220317962280997","0.19845640680761617"
"Dutch","65.97125","2.3446885342500003","4.4421417","19.209083725000006","0.03554106575591641","0.0673345085927582","0.29117356007351697"
"Spain","1580.1275200000023","75.32618641274995","140.794368611","283.217816773","0.047670954058663464","0.08910316846516274","0.17923731672808255"
"Greece","1609.4961599999983","83.308495842025","112.90518275749994","312.59425865999987","0.0517606055313764","0.07014939554593287","0.1942187042310186"
"Scandinavia","640.8585899999993","31.495612410949978","48.100041187999956","150.61495409950018","0.049145962779323926","0.07505562371879888","0.2350205746629695"
"Canada","1591.511990000001","63.30250623747503","114.39312460799992","351.92709916325026","0.03977507341146389","0.07187701087190669","0.22112751985189255"
"Central America","34.3951","1.57233931125","2.20400969","8.37598384","0.04571404971202293","0.06407917668505107","0.24352259013638572"
"USA","29573.047874999866","1264.8259828842129","2004.8930546019978","5358.697417071258","0.042769551120683015","0.06779460348748402","0.181202067494752"
"British Isles","1731.1561250000009","59.57661894277514","121.22837904750013","407.7848050675001","0.03441435355391479","0.07002740960033288","0.23555634248037557"
"Mexico","5325.819860000005","240.83558411505032","456.8967445239999","1151.4012460075005","0.04522037741529059","0.08578899709987553","0.21619230020436692"
"China","1440.8124799999996","47.7663584925","118.26098857799998","265.90281123099993","0.0331523769786475","0.08207937550485404","0.18455060247048943"
"Belgian","40.54285","1.2584137425","2.986267","8.216220299999998","0.031039104120701922","0.0736570566696717","0.202655222807474"
"Germany, Austria, and Switzerland","834.6389599999993","33.83759078419999","55.05137044500002","203.13421308500017","0.040541590323317785","0.06595830422893278","0.24337974000758403"
"Africa","1137.0070399999995","50.15787842000003","95.57581658500007","262.52046803500014","0.04411395589951673","0.08405912472186637","0.2308872845985195"
"South East Asia","1122.2539599999989","43.00394956120004","107.24600865999999","218.14898282000007","0.03831926737972934","0.09556304765456126","0.1943846852810395"
"South America","488.12361999999985","18.77857538332501","39.70400373850004","91.35511134050005","0.03847094181454488","0.08134005836165038","0.18715568679200584"
"Indian Subcontinent","2142.5032700000015","92.04973432722504","171.00438738750015","485.98183721500106","0.04296363772981545","0.07981522818749305","0.2268289827230932"
"Caribbean","1788.3073699999966","73.14506407249998","150.650278451","358.9286856779997","0.040901841204456994","0.08424182608552369","0.2007086095484807"
"Portugal","295.81579000000016","12.697345283250009","23.23223726000002","53.42131288999999","0.04292314917756757","0.07853616353609794","0.18058979505455053"
